127.0.0.1 - - [03/Oct/2021:18:23:54 +0900] "GET / HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:05 +0900] "GET / HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:06 +0900] "GET /resources/css/login.css HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:06 +0900] "GET /resources/js/master.js HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:16 +0900] "POST /login HTTP/1.1" 200 8608
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:16 +0900] "GET /resources/js/main.js HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:16 +0900] "GET /resources/css/main.css HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:17 +0900] "GET /resources/images/eljl_LOGO_final.png HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:17 +0900] "POST /dashboard/getTotalLectureList HTTP/1.1" 200 6245
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:24:17 +0900] "POST /dashboard/getMyLectureList HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "POST /moveStream HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "GET /resources/js/main.js HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "GET /resources/js/stream.js HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "GET /resources/js/master.js HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "GET /resources/images/eljl_LOGO_final.png HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "POST /common/getQuizDate HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "POST /common/getETCDate HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "POST /common/getTaskDate HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:02 +0900] "POST /common/getNotice HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:19 +0900] "GET / HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:19 +0900] "GET /resources/js/master.js HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:19 +0900] "GET /resources/css/login.css HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:25 +0900] "POST /login HTTP/1.1" 200 8608
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:25:25 +0900] "GET /resources/css/main.css HTTP/1.1" 200 2730
